"时间戳记","Gender","Year","How many classes are you taking this year?","How many textbooks are required in total?","Where do you buy your textbooks?","How much approximately do these textbooks cost on you for this semester?","Rank your feelings about textbook cost this semester",""
"2018/11/05 10:42:31 上午 GMT-5","Female","2019","5","2","Campus bookstore","Over 200$","4",""
"2018/11/05 10:44:26 上午 GMT-5","Female","2022","6","1","Buying from others","Over 200$","4","选项 1"
"2018/11/05 10:48:57 上午 GMT-5","Female","2022","6","1","Campus bookstore;Buying from others","Over 200$","4","选项 1"
"2018/11/05 10:50:21 上午 GMT-5","Female","2022","5","5","Campus bookstore;Online bookstore (amazon.com etc.)","Over 200$","5",""
"2018/11/05 10:52:15 上午 GMT-5","Male","2022","6","4","Campus bookstore;Free PDF files if available","Over 200$","5",""
"2018/11/05 10:55:03 上午 GMT-5","Female","2020","6","3","Campus bookstore","Over 200$","5",""
"2018/11/05 10:57:55 上午 GMT-5","Male","2019","6","2","Free PDF files if available","Less than 50$","1",""
"2018/11/05 10:58:08 上午 GMT-5","Male","2022","5","3","Campus bookstore;Online bookstore (amazon.com etc.)","Over 200$","2",""
"2018/11/05 10:58:20 上午 GMT-5","Female","2022","6","4","Online bookstore (amazon.com etc.)","Over 200$","3",""
"2018/11/05 10:58:26 上午 GMT-5","Female","2020","6","3","Online bookstore (amazon.com etc.);Free PDF files if available","50$-100$","2",""
"2018/11/05 10:58:51 上午 GMT-5","Male","2019","3","1","Buying from others","50$-100$","2",""
"2018/11/05 10:58:55 上午 GMT-5","Male","2022","6","3","Campus bookstore;Free PDF files if available;Buying from others;Given by others","50$-100$","4",""
"2018/11/05 10:58:58 上午 GMT-5","Male","2022","6","4","Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available","Over 200$","4",""
"2018/11/05 10:59:55 上午 GMT-5","Male","2020","5","4","Online bookstore (amazon.com etc.);Free PDF files if available","100$-200$","4",""
"2018/11/05 11:00:10 上午 GMT-5","Male","2022","5","3","Free PDF files if available;Given by others","Less than 50$","1",""
